asset_id	canonical_name	aliases	development_codes	modality	target	company	highest_stage	development_status	nct_ids	first_seen	last_seen	sources	source_count	evidence_ids	catalog_status
NAR_DRG0ICRYT	Oportuzumab monatox	4D5MOCB-ETA; Anti-ECAM exotoxin A fusion protein; B-4845; Oportuzumab monatox; Proxinium; VB-4847; VB-845; VB4-845; Vicineum; Vicinium; Vysyneum; oportuzumab monatox-qqrs			Epithelial cell adhesion molecule (EPCAM)	Sesen Bio; Qilu Pharmaceutical Co., Ltd; Baxter Oncology GmbH; Viventia Bio, Inc	Phase3	Phase 3	NCT00462488			nar_reference	1	DRG0ICRYT	REFERENCE_CONFIRMED
NAR_DRG0ICSRW	CHB-111						Phase1	Phase 1				nar_reference	1	DRG0ICSRW	REFERENCE_CONFIRMED
NAR_DRG0IDOUS	MK-6204						Phase1	Phase 1	NCT06726369			nar_reference	1	DRG0IDOUS	REFERENCE_CONFIRMED
NAR_DRG0IDRYV	LCB-67	Anti-DLK1 ADC; MMAE-anti-DLK1; PYX 202; DLK1-MMAE; LCB67; LCB 67; PAY-202; PAY202			Protein delta homolog 1 (DLK1)	LegoChem Biosciences, Inc	Investigative	Investigative				nar_reference	1	DRG0IDRYV	REFERENCE_CONFIRMED
NAR_DRG0IITIR	EX107	EX 107; EX-107			T-cell surface glycoprotein CD3 delta chain (CD3D); Programmed cell death protein 1 (PDCD1)	Excelmab Inc	Investigative	Investigative				nar_reference	1	DRG0IITIR	REFERENCE_CONFIRMED
NAR_DRG0IJSIT	MG2106E	MG2106E (Shanghai MabGen Biotech); MG-2106E; MG 2106E			Undisclosed	Shanghai MabGen Biotech Ltd; Shanghai Meijing Science & Technology Co. Ltd	Investigative	Investigative				nar_reference	1	DRG0IJSIT	REFERENCE_CONFIRMED
NAR_DRG0IMAKZ	Mecbotamab vedotin	BA 3011; BA3011; CAB-AXL-ADC; CAB-Axl antibody-drug conjugates; HTBA-3011; HTBA3011; Mecbotamab Vedotin; Mecbotamab vedotin		PRESUMED_STRICT_ADC	Tyrosine-protein kinase receptor UFO (AXL)	BioAtla, Inc	Phase2	Phase 1/2	NCT03425279; NCT04681131			nar_reference; conference_abstract_corpus	2	DRG0IMAKZ; ADC_SUFFIX_76e77acea2d5	MULTISOURCE_CONFIRMED
NAR_DRG0INCQV	DXC-003	DXC003; DXC 003			Tumor-associated calcium signal transducer 2 (TROP2)	Hangzhou DAC Biotech Co., Ltd	Investigative	Investigative				nar_reference	1	DRG0INCQV	REFERENCE_CONFIRMED
NAR_DRG0INYKO	BCMA-077	BCMA 077; BCMA077			Tumor necrosis factor receptor superfamily member 17 (TNFRSF17)	Sorrento Therapeutics, Inc	Investigative	Investigative				nar_reference	1	DRG0INYKO	REFERENCE_CONFIRMED
NAR_DRG0IOMGE	JNJ-89862175						Phase1	Phase 1	NCT07223125			nar_reference	1	DRG0IOMGE	REFERENCE_CONFIRMED
NAR_DRG0IOSTB	PLB-002						Phase1	Phase 1	NCT07304128			nar_reference	1	DRG0IOSTB	REFERENCE_CONFIRMED
NAR_DRG0IPCHO	TAK-164	TAK 164; TAK-164; TAK164			Guanylyl cyclase C (GUCY2C)	ImmunoGen, Inc; Takeda Pharmaceutical Co., Ltd	Phase1	Phase 1 (Terminated)	NCT03449030			nar_reference	1	DRG0IPCHO	REFERENCE_CONFIRMED
NAR_DRG0IQKOR	CON-4619	Aurixim; CON-4619; Rituximab conjugate (BioIntegrator LLC)			B-lymphocyte antigen CD20 (MS4A1)	BioIntegrator LLC	Phase1	Phase 1 (Terminated)	NCT03057418			nar_reference	1	DRG0IQKOR	REFERENCE_CONFIRMED
NAR_DRG0IQNVH	PRO-1102	PRO 1102; PRO1102			Receptor tyrosine-protein kinase erbB-2 (HER2)	ProfoundBio (Suzhou) Co., Ltd	Investigative	Investigative				nar_reference	1	DRG0IQNVH	REFERENCE_CONFIRMED
NAR_DRG0IRZIB	Glembatumumab vedotin			PRESUMED_STRICT_ADC			Phase2	Phase 2				nar_reference; clinicaltrials; conference_abstract_corpus	3	DRG0IRZIB; ADC_CANDIDATE_ADC_SUFFIX_6e0bdde22a85	MULTISOURCE_CONFIRMED
NAR_DRG0IRZPG	AB-160	AB 160; AB-160; AB160; nab-paclitaxel/bevacizumab complex			Vascular endothelial growth factor A (VEGFA)	Mayo Clinic	Phase1	Phase 1				nar_reference	1	DRG0IRZPG	REFERENCE_CONFIRMED
NAR_DRG0ISFPP	Anti-B7-2-gelonin immunotoxin	AntiB72 monoclonal antibodygelonin immunotoxin conjugate; B72 targeted immunotoxin			T-lymphocyte activation antigen CD86 (CD86)	Bologna University	Investigative	Investigative				nar_reference	1	DRG0ISFPP	REFERENCE_CONFIRMED
NAR_DRG0ITBMZ	HD-101	Amanitin-CD269 antibody drug conjugate; CD269-ATAC; anti-CD269-30.1699; anti-CD269-30.2115; anti-CD269-Thiomab-30.1699; anti-CD269-Thiomab-30.2115			Tumor necrosis factor receptor superfamily member 17 (TNFRSF17)	Heidelberg Pharma AG	Investigative	Investigative				nar_reference	1	DRG0ITBMZ	REFERENCE_CONFIRMED
NAR_DRG0IUXVP	ABBV-324						Phase1	Phase 1	NCT06858813			nar_reference	1	DRG0IUXVP	REFERENCE_CONFIRMED
NAR_DRG0IVDIV	TQB2102	TQB 2102; TQB-2102; TQB2102			Receptor tyrosine-protein kinase erbB-2 (HER2 ECD2); Receptor tyrosine-protein kinase erbB-2 (HER2 ECD4)	Nanjing Shunxin Pharmaceutical Co., Ltd; Sino Biopharmaceutical Ltd	Phase2	Phase 2	NCT05735496			nar_reference	1	DRG0IVDIV	REFERENCE_CONFIRMED
NAR_DRG0IWQWQ	DXC-014						Phase1	Phase 1	NCT07177937			nar_reference	1	DRG0IWQWQ	REFERENCE_CONFIRMED
NAR_DRG0IYBRT	ADCT-602	ADCT-602; Epratuzumab-cys-SG3249; Epratuzumab-cys-tesirine; hLL2-cys-PBD; hLL2-cys-SG3249			B-cell receptor CD22 (CD22)	ADC Therapeutics SA	Phase2	Phase 1/2	NCT03698552			nar_reference	1	DRG0IYBRT	REFERENCE_CONFIRMED
NAR_DRG0JBKMD	Labetuzumab govitecan	Anti-CEA monoclonal antibody; Anti-carcinoembryonic antigen monoclonal antibody; HMN-14-SN38; IMMU-130; IMMU-130, hMN14-SN38; Labetuzumab govitecan; Labetuzumab-SN38 conjugate; SN38-labetuzumab conjugate; anti-CEACAM5-SN38; hMN-14-SN38 antibody-drug conjugate		PRESUMED_STRICT_ADC	Carcinoembryonic antigen-related cell adhesion molecule 5 (CEACAM5)	Immunomedics, Inc; IBC Pharmaceuticals, Inc; Gilead Sciences, Inc	Phase2	Phase 2 (Terminated)	NCT01605318			nar_reference; clinicaltrials; conference_abstract_corpus	3	DRG0JBKMD; ADC_CANDIDATE_ADC_SUFFIX_5a33565c2c4a	MULTISOURCE_CONFIRMED
NAR_DRG0JCGJZ	ABBV-291						Phase1	Phase 1	NCT06667687			nar_reference	1	DRG0JCGJZ	REFERENCE_CONFIRMED
NAR_DRG0JCWGF	TRPH-222	CAT-02-106; CD22 ADC; CD22 antibody drug conjugate; CD22-4AP; TRPH 222; TRPH-222; TRPH222			B-cell receptor CD22 (CD22)	Catalent, Inc; Triphase Accelerator Corp; Triphase Research and Development III Corp	Phase1	Phase 1 (Terminated)	NCT03682796			nar_reference	1	DRG0JCWGF	REFERENCE_CONFIRMED
NAR_DRG0JDDLS	GF-2014	GF 2014; GF2014			Undisclosed	GenFleet Therapeutics (Shanghai) Co., Ltd	Investigative	Investigative				nar_reference	1	DRG0JDDLS	REFERENCE_CONFIRMED
NAR_DRG0JEJPW	YH-013	YH 013; YH013			Epidermal growth factor receptor (EGFR); Hepatocyte growth factor receptor (MET)	Biocytogen Pharmaceuticals (Beijing) Co., Ltd; Eucure (Beijing) Biopharma Co., Ltd	Investigative	Investigative				nar_reference	1	DRG0JEJPW	REFERENCE_CONFIRMED
NAR_DRG0JEUPG	Sacituzumab-Deruxtecan	WO2022068878A1			Tumor-associated calcium signal transducer 2 (TROP2)	Duality Biologics	Investigative	Investigative				nar_reference	1	DRG0JEUPG	REFERENCE_CONFIRMED
NAR_DRG0JEVIM	Disitamab vedotin	RC48; RC 48-ADC; RC-48; RC-48-ADC; RC48-ADC; Aidixi; Recombinant Humanized anti-HER2 Monoclonal Antibody-MMAE Conjugate		STRICT_ADC	Receptor tyrosine-protein kinase erbB-2 (HER2)	RemeGen Co., Ltd; RemeGen Co., Ltd; Merck Sharp & Dohme LLC	Approved	Approved (FDA): Jun, 2021	NCT02881190; NCT03556345; NCT04264936; NCT04714190			nar_reference; configs/known_adc_assets.yaml; clinicaltrials	3	DRG0JEVIM; ADC_CANDIDATE_DISITAMAB_VEDOTIN	MULTISOURCE_CONFIRMED
NAR_DRG0JFYCH	KK2845						Phase1	Phase 1	NCT06812104			nar_reference	1	DRG0JFYCH	REFERENCE_CONFIRMED
NAR_DRG0JGJDN	HBM9033	HBM 9033; HBM-9033; HBM9033; PF-08052666; PF 08052666; PF08052666; SGN-MesoC2			Mesothelin (MSLN)	Harbour Biomed Therapeutics Ltd	Phase1	Phase 1				nar_reference	1	DRG0JGJDN	REFERENCE_CONFIRMED
NAR_DRG0JJEUT	Aprutumab ixadotin	Aprutumab ixadotin; BAY 1187982; BAY-1187982; BAY1187982; FGFR2-ADC			Fibroblast growth factor receptor 2 (FGFR2)	Bayer AG	Phase1	Phase 1 (Terminated)	NCT02368951			nar_reference	1	DRG0JJEUT	REFERENCE_CONFIRMED
NAR_DRG0JJONS	HS-20124						Phase1	Phase 1	NCT06763159			nar_reference	1	DRG0JJONS	REFERENCE_CONFIRMED
NAR_DRG0JKQOU	HB0052	HB 0052; HB-0052			5'-nucleotidase (NT5E)	Huabo Biopharm Co., Ltd	Investigative	Investigative				nar_reference	1	DRG0JKQOU	REFERENCE_CONFIRMED
NAR_DRG0JLDZY	SIBP-A13	SIBP A13; SIBPA13			Receptor tyrosine-protein kinase erbB-3 (HER3)	Sino Biopharmaceutical Ltd	Investigative	Investigative				nar_reference	1	DRG0JLDZY	REFERENCE_CONFIRMED
NAR_DRG0JLIZJ	CD38 ADC						Phase1	Phase 1				nar_reference	1	DRG0JLIZJ	REFERENCE_CONFIRMED
NAR_DRG0JMVCQ	ONC-784	ONC 784; ONC784			Signal transducer CD24 (CD24)	Oncoc4 Inc; Oncoimmune-Guangzhou	Investigative	Investigative				nar_reference	1	DRG0JMVCQ	REFERENCE_CONFIRMED
NAR_DRG0JMXQX	HDM2012						Phase1	Phase 1	NCT07100249			nar_reference	1	DRG0JMXQX	REFERENCE_CONFIRMED
NAR_DRG0JNCVK	YL217						Phase1	Phase 1	NCT06859762			nar_reference	1	DRG0JNCVK	REFERENCE_CONFIRMED
NAR_DRG0JNMAT	SIBP-A17						Phase1	Phase 1	NCT06512116			nar_reference	1	DRG0JNMAT	REFERENCE_CONFIRMED
NAR_DRG0JNXDB	XMT-1592	XMT 1592; XMT1592; XMT-1592			Sodium-dependent phosphate transport protein 2B (SLC34A2)	Mersana Therapeutics, Inc	Phase1	Phase 1 (Terminated)	NCT04396340			nar_reference	1	DRG0JNXDB	REFERENCE_CONFIRMED
NAR_DRG0JNZLF	PCA-062	NOV-10; PCA 062; PCA-062; PCA-pCAD; PCA06 2, NOV-10; PCA062			Cadherin-3 (CDH3)	MorphoSys AG; Novartis AG	Phase1	Phase 1 (Terminated)	NCT02375958			nar_reference	1	DRG0JNZLF	REFERENCE_CONFIRMED
NAR_DRG0JOHND	Gemtuzumab ozogamicin	CDP-771; CL-555201; CMA-676; WAY-CMA-676; Anti-CD33-monoclonal-antibody-calicheamicin; Anti-CD33-monoclonal-antibody-p67-6-calicheamicin-conjugate; HP67-6-N-acetyl-gamma-dimethyl-acbut; hP67.6-calicheamicin; Human-anti-CD33-monoclonal-antibody-P67-6-calicheamicin-conjugate		STRICT_ADC	Myeloid cell surface antigen CD33 (CD33)	Pfizer Inc; Wyeth Pharmaceuticals LLC	Approved	Approved (FDA): Mar, 2000	NCT00893399; NCT00909168			nar_reference; configs/known_adc_assets.yaml; clinicaltrials	3	DRG0JOHND; ADC_CANDIDATE_GEMTUZUMAB_OZOGAMICIN	MULTISOURCE_CONFIRMED
NAR_DRG0JOMGD	NC18						Phase1	Phase 1				nar_reference	1	DRG0JOMGD	REFERENCE_CONFIRMED
NAR_DRG0JPJDT	RN927C	RN-927C; RN 927C			Tumor-associated calcium signal transducer 2 (TROP2)	Rinat Neuroscience Corp	Investigative	Investigative				nar_reference	1	DRG0JPJDT	REFERENCE_CONFIRMED
NAR_DRG0JQAJB	MGTA-117	Anti-CD117 amanitin ADC; Anti-CD117 amanitin antibody drug conjugate; CD117-amanitin antibody drug conjugate; MGTA 117; MGTA-117; anti-CD117 (c-KIT)-amanitin antibody-drug conjugate; CD117-ADC			Mast/stem cell growth factor receptor Kit (KIT)	Heidelberg Pharma AG	Phase1	Phase 1 (Terminated)				nar_reference	1	DRG0JQAJB	REFERENCE_CONFIRMED
NAR_DRG0JQHJW	AGX101	AGX 101; AGX-101; AGX101; Anti-TM4SF1 ADC (Angiex)			Transmembrane 4 L6 family member 1 (TM4SF1)	Angiex, Inc	Phase1	Phase 1				nar_reference	1	DRG0JQHJW	REFERENCE_CONFIRMED
NAR_DRG0JQWJI	BG-C137						Phase1	Phase 1	NCT06625593			nar_reference	1	DRG0JQWJI	REFERENCE_CONFIRMED
NAR_DRG0JSPJR	ZL-1310	YL 212; YL-212; YL212; ZL-1310; ZL 1310; ZL1310			Delta-like protein 3 (DLL3)	Zai Lab Ltd	Phase1	Phase 1				nar_reference	1	DRG0JSPJR	REFERENCE_CONFIRMED
NAR_DRG0JTQDR	FS-1502	FS-1502; Herceptin-LC-LBG-MMAF; IKS 014; IKS-014; IKS014; LCB14; LCB14-0110; Trastuzumab-LC-LBG-MMAF			Receptor tyrosine-protein kinase erbB-2 (HER2)	Iksuda Therapeutics; Shanghai Fosun Pharmaceutical	Phase1	Phase 3				nar_reference	1	DRG0JTQDR	REFERENCE_CONFIRMED
NAR_DRG0JUOJJ	MHB036C						Phase2	Phase 2				nar_reference	1	DRG0JUOJJ	REFERENCE_CONFIRMED
NAR_DRG0JUOLN	MDX-1203	BMS 936561; BMS-936561; BMS-936561, MDX-1203; BMS936561; MDX 1203; MDX-1203; MDX1203			CD70 antigen (CD70)	Medarex, Inc; Bristol Myers Squibb Co	Phase1	Phase 1 (Terminated)	NCT00944905			nar_reference	1	DRG0JUOLN	REFERENCE_CONFIRMED
NAR_DRG0JVAJA	Rosopatamab tetraxetan	DOTA-HUJ-591-GS; DOTA-HUJ-591; HuJ591-DOTA; Rosopatamab Y-90 conjugation			Glutamate carboxypeptidase 2 (FOLH1)	Weill Cornell Medical Center	Investigative	Investigative	NCT00052000; NCT00070837; NCT02576548			nar_reference	1	DRG0JVAJA	REFERENCE_CONFIRMED
NAR_DRG0JVDPQ	AG 02 saporin conjugate	AG02; AG02 saporin; AG02-saporin; AG02-ADC; AG02 ADC			Cell surface protein 1 (CSP-1)	A&G Pharmaceutical, Inc	Investigative	Investigative				nar_reference	1	DRG0JVDPQ	REFERENCE_CONFIRMED
NAR_DRG0JWBNH	Brentuximab vedotin	CAC10-vcMMAE; cAC-10. SGD-1010; SGN-30; SGN-35; cAC10-Val-Cit-MMAE; Moab chimeric SGN-30 to CD30 antigen		STRICT_ADC	Tumor necrosis factor receptor superfamily member 8 (TNFRSF8)	Seagen Inc; BSP Pharmaceuticals SpA; Takeda Pharmaceutical Co., Ltd	Approved	Approved (FDA): Aug, 2011	NCT00430846; NCT00848926; NCT00866047; NCT00947856; NCT01060904; NCT01100502; NCT01309789; NCT01352520; NCT01393717; NCT01421667; NCT01461538; NCT01578499; NCT01657331; NCT01712490; NCT01716806; NCT01777152; NCT01780662; NCT01807598; NCT01940796; NCT01979536; NCT01994850; NCT02086604; NCT02166463; NCT02227199; NCT02227433; NCT02280785; NCT02292979; NCT02388490; NCT02423291; NCT02505269; NCT02572167; NCT02581631; NCT02684292; NCT02686346; NCT02758717; NCT02927769; NCT03057795; NCT04404283			nar_reference; configs/known_adc_assets.yaml; clinicaltrials	3	DRG0JWBNH; ADC_CANDIDATE_BRENTUXIMAB_VEDOTIN	MULTISOURCE_CONFIRMED
NAR_DRG0JXYIZ	DS-9606						Phase1	Phase 1				nar_reference	1	DRG0JXYIZ	REFERENCE_CONFIRMED
NAR_DRG0JYFQF	ZPC-21						Phase1	Phase 1	NCT06823167			nar_reference	1	DRG0JYFQF	REFERENCE_CONFIRMED
NAR_DRG0JYKFE	BSI-712	BSI 712; BSI712			Zinc transporter ZIP6 (SLC39A6)	Biosion, Inc; ImmunoGen, Inc	Investigative	Investigative				nar_reference	1	DRG0JYKFE	REFERENCE_CONFIRMED
NAR_DRG0JYNCF	CX-2029	ABBV-2029; ABBV-2029,CX-2029; CD71 probody drug conjugate; CX 2029; CX-2029			Transferrin receptor protein 1 (TFRC)	CytomX Therapeutics, Inc; AbbVie, Inc	Phase2	Phase 1/2	NCT03543813			nar_reference	1	DRG0JYNCF	REFERENCE_CONFIRMED
NAR_DRG0KAGOH	PLBA-001	PLBA 001; PLBA001			Undisclosed	PrimeLink BioTherapeutics (Suzhou) Co., Ltd	Investigative	Investigative				nar_reference	1	DRG0KAGOH	REFERENCE_CONFIRMED
NAR_DRG0KBCEN	M3554						Phase1	Phase 1	NCT06641908			nar_reference	1	DRG0KBCEN	REFERENCE_CONFIRMED
NAR_DRG0KDTFA	F0002-ADC	Anti-CD30-MCC-DM1; CD30-MCC-DM1; F-0002-ADC; F0002 ADC; F0002-ADC; F0002-ADC, Anti-CD30-MCC-DM1			Tumor necrosis factor receptor superfamily member 8 (TNFRSF8)	Shanghai Fudan Zhangjiang Bio Pharmaceutical Co., Ltd	Phase1	Phase 1				nar_reference	1	DRG0KDTFA	REFERENCE_CONFIRMED
NAR_DRG0KFMAB	DXC-009	DXC 009; DXC-009; DXC009			Undisclosed	Hangzhou DAC Biotech Co., Ltd	Phase1	Phase 1				nar_reference	1	DRG0KFMAB	REFERENCE_CONFIRMED
NAR_DRG0KGFDM	Zt/g4-Maytansinoid						Investigative	Investigative				nar_reference	1	DRG0KGFDM	REFERENCE_CONFIRMED
NAR_DRG0KHDFE	BAT-8007						Phase1	Phase 1				nar_reference	1	DRG0KHDFE	REFERENCE_CONFIRMED
NAR_DRG0KHFFZ	PF-06263507	A1-mafodotin; A1-mcMMAF; MMAF ADC; PF 6263507; PF-06263507; PF-06263507, A1mc MMAF; PF06263507			Trophoblast glycoprotein (TPBG)	Oxford Biomedica Plc; Pfizer Inc	Phase1	Phase 1 (Terminated)				nar_reference	1	DRG0KHFFZ	REFERENCE_CONFIRMED
NAR_DRG0KJHHN	IMGN-779	IMGN 779; IMGN-779; IMGN7 79; IMGN779			Myeloid cell surface antigen CD33 (CD33)	ImmunoGen, Inc	Phase1	Phase 1 (Terminated)				nar_reference	1	DRG0KJHHN	REFERENCE_CONFIRMED
NAR_DRG0KKATK	SHR-A2102	SHR A2102; SHR-A2102; SHRA2102			Nectin-4 (NECTIN4)	Shanghai Hengrui Pharmaceutical Co., Ltd	Phase3	Phase 3	NCT05701709; NCT05735275			nar_reference	1	DRG0KKATK	REFERENCE_CONFIRMED
NAR_DRG0KKBKT	BBT-001	BBT 001; BBT001; long-acting GCSF-IgG-Fc immunofusion protein			Granulocyte colony-stimulating factor receptor (CSF3R)	Bolder BioTechnology, Inc	Investigative	Investigative				nar_reference	1	DRG0KKBKT	REFERENCE_CONFIRMED
NAR_DRG0KKQDW	SRB19	SRB-19; SRB 19			Epidermal growth factor receptor (EGFR); Receptor tyrosine-protein kinase erbB-3 (HER3)	Sunrock Biopharma SL	Investigative	Investigative				nar_reference	1	DRG0KKQDW	REFERENCE_CONFIRMED
NAR_DRG0KMHHU	TRS-005	TRS-005; TRS005			B-lymphocyte antigen CD20 (MS4A1)	Zhejiang Teruisi Pharmaceutical Inc	Phase1	Phase 1	NCT05395533			nar_reference	1	DRG0KMHHU	REFERENCE_CONFIRMED
NAR_DRG0KNAHQ	BL-M14D1						Phase1	Phase 1	NCT06505824; NCT07080242			nar_reference	1	DRG0KNAHQ	REFERENCE_CONFIRMED
NAR_DRG0KNAKC	QBK249-G	QBK249G; QBK249 G			Receptor tyrosine-protein kinase erbB-2 (HER2)	Quadira Biosciences AG	Investigative	Investigative				nar_reference	1	DRG0KNAKC	REFERENCE_CONFIRMED
NAR_DRG0KRSBQ	IKS-012	IKS 012; IKS012			Folate receptor alpha (FOLR1)	Iksuda Therapeutics Ltd	Investigative	Investigative				nar_reference	1	DRG0KRSBQ	REFERENCE_CONFIRMED
NAR_DRG0KSBCU	EP-400	EP 400; EP400			Undisclosed	Esperance Pharmaceuticals, Inc	Investigative	Investigative				nar_reference	1	DRG0KSBCU	REFERENCE_CONFIRMED
NAR_DRG0KSTYX	CLR-180099	CLR 180099; CLR180099			Lipid rafts (LR)	Cellectar Biosciences, Inc	Investigative	Investigative				nar_reference	1	DRG0KSTYX	REFERENCE_CONFIRMED
NAR_DRG0KTRKE	PF-06664178	PF 6664178; PF-06664178; PF06664178; PF6664178			Tumor-associated calcium signal transducer 2 (TROP2)	Pfizer Inc	Phase1	Phase 1 (Terminated)	NCT02122146			nar_reference	1	DRG0KTRKE	REFERENCE_CONFIRMED
NAR_DRG0KTTFS	XMT-2056	XMT 2056; XMT-2056; XMT2056			Receptor tyrosine-protein kinase erbB-2 (HER2)	Mersana Therapeutics, Inc	Phase1	Phase 1				nar_reference	1	DRG0KTTFS	REFERENCE_CONFIRMED
NAR_DRG0KWGRK	IMMU-140	IMMU140; IMMU 140			HLA class II histocompatibility antigen, DR alpha chain (HLA-DRA)	Immunomedics, Inc; Gilead Sciences, Inc	Investigative	Investigative				nar_reference	1	DRG0KWGRK	REFERENCE_CONFIRMED
NAR_DRG0KWKQC	DX126-262	DAC-001; DX126 262; DX126-262; Recombinant anti-HER2 antibody-Tub 114			Receptor tyrosine-protein kinase erbB-2 (HER2)	Hangzhou DAC Biotech Co., Ltd	Phase2	Phase 2				nar_reference	1	DRG0KWKQC	REFERENCE_CONFIRMED
NAR_DRG0KXLGG	MK-6837						Phase1	Phase 1	NCT06460961			nar_reference	1	DRG0KXLGG	REFERENCE_CONFIRMED
NAR_DRG0KYHQN	CMB-401	Anti-PEM monoclonal antibody calicheamicin; CDP 671; CDP-671; CMB 401; CMB-401; LLE 33288; hCTMO1-calicheamicin; hcT.MO1 calicheamicin			Mucin-1 (MUC1)	Celltech Oy	Phase2	Phase 2 (Terminated)				nar_reference	1	DRG0KYHQN	REFERENCE_CONFIRMED
NAR_DRG0KYOBC	TORL-1-23	TORL 1 23; TORL 1-23; TORL-1-23; TORL1-23			Claudin-6 (CLDN6)	TORL Biotherapeutics LLC	Phase1	Phase 1	NCT05103683			nar_reference	1	DRG0KYOBC	REFERENCE_CONFIRMED
NAR_DRG0LBQXO	PA-368A	PA368A; PA 368A			Cadherin-17 (CDH17)	Protein Alternatives SL	Investigative	Investigative				nar_reference	1	DRG0LBQXO	REFERENCE_CONFIRMED
NAR_DRG0LCOWD	MRG-004A	MRG 004A; MRG-004A; MRG004A			Tissue factor (F3)	Shanghai Miracogen Inc; Lepu Biopharma Co., Ltd	Phase2	Phase 1/2				nar_reference	1	DRG0LCOWD	REFERENCE_CONFIRMED
NAR_DRG0LDEJY	ITC-6146RO						Phase1	Phase 1	NCT07423117			nar_reference	1	DRG0LDEJY	REFERENCE_CONFIRMED
NAR_DRG0LFBZI	ALK202						Phase1	Phase 1	NCT06707610			nar_reference	1	DRG0LFBZI	REFERENCE_CONFIRMED
NAR_DRG0LFGHB	HTI-1511	HTI 1511; HTI1511			Epidermal growth factor receptor (EGFR)	Halozyme Therapeutics, Inc	Investigative	Investigative				nar_reference	1	DRG0LFGHB	REFERENCE_CONFIRMED
NAR_DRG0LFZFX	ABBV-319	ABBV 319; ABBV-319; ABBV319			B-lymphocyte antigen CD19 (CD19)	AbbVie, Inc	Phase1	Phase 1				nar_reference	1	DRG0LFZFX	REFERENCE_CONFIRMED
NAR_DRG0LGBME	Ispectamab tazide	Ispectamab tazide			Tumor necrosis factor receptor superfamily member 17 (TNFRSF17)		Investigative	Investigative				nar_reference	1	DRG0LGBME	REFERENCE_CONFIRMED
NAR_DRG0LHLWT	LR-DM1	LR DM1			Epidermal growth factor receptor (EGFR)	Chinese Academy of Medical Science and Peking Union Medical College	Investigative	Investigative				nar_reference	1	DRG0LHLWT	REFERENCE_CONFIRMED
NAR_DRG0LHZWB	ASN-004	ASN 004; ASN-004; ASN004			Trophoblast glycoprotein (TPBG)	Asana BioSciences LLC	Phase1	Phase 1				nar_reference	1	DRG0LHZWB	REFERENCE_CONFIRMED
NAR_DRG0LIPUK	GL-231	GL231; GL 231			Undisclosed	Genisphere LLC	Investigative	Investigative				nar_reference	1	DRG0LIPUK	REFERENCE_CONFIRMED
NAR_DRG0LJGJX	IBI3028						Phase1	Phase 1				nar_reference	1	DRG0LJGJX	REFERENCE_CONFIRMED
NAR_DRG0LJSQF	Sacituzumab-SN-38	Smab-SN-38			Tumor-associated calcium signal transducer 2 (TROP2)		Investigative	Investigative Drug-to-Antibody Ratio 6 3D				nar_reference	1	DRG0LJSQF	REFERENCE_CONFIRMED
NAR_DRG0LKZJZ	CS-5002	CS5002; CS 5002			Undisclosed	CStone Pharmaceuticals Co. Ltd	Investigative	Investigative				nar_reference	1	DRG0LKZJZ	REFERENCE_CONFIRMED
NAR_DRG0LLSDP	9MW-2921	9MW 2921; 9MW-2921; 9MW2921			Tumor-associated calcium signal transducer 2 (TROP2)	Mabwell (Shanghai) Bioscience Co., Ltd	Phase2	Phase 1/2				nar_reference	1	DRG0LLSDP	REFERENCE_CONFIRMED
NAR_DRG0LNARP	MEDI-0641	MEDI0641; MEDI 0641; 5T4-PBD			Trophoblast glycoprotein (TPBG)	MedImmune LLC; AstraZeneca PLC	Investigative	Investigative				nar_reference	1	DRG0LNARP	REFERENCE_CONFIRMED
NAR_DRG0LNBQO	PHN-012						Phase1	Phase 1	NCT07127874			nar_reference	1	DRG0LNBQO	REFERENCE_CONFIRMED
NAR_DRG0LNVKG	ARX-788	ARX 788; ARX-788; ARX788			Receptor tyrosine-protein kinase erbB-2 (HER2)	Ambrx, Inc; Zhejiang Medicine Co., Ltd; Novocodex Biopharmaceuticals Co., Ltd	Phase2	Phase 2	NCT01042379; NCT02512237; NCT03255070; NCT04829604; NCT04983121; NCT05018676; NCT05018702; NCT05041972; NCT05426486			nar_reference	1	DRG0LNVKG	REFERENCE_CONFIRMED
NAR_DRG0LQZSE	Naratuximab emtansine	DEBIO 1562; Debio 1562, K7153 A, IMGN5 29; IMGN 529; IMGN-529; IMGN529; K7153A-SMCC-DM1; Naratuximab emtansine		PRESUMED_STRICT_ADC	Leukocyte antigen CD37 (CD37)	ImmunoGen, Inc; Debiopharm International SA	Phase2	Phase 2 (Terminated)	NCT01534715			nar_reference; conference_abstract_corpus	2	DRG0LQZSE; ADC_SUFFIX_f3e976431323	MULTISOURCE_CONFIRMED
NAR_DRG0LRYYB	HS630						Phase1	Phase 1				nar_reference	1	DRG0LRYYB	REFERENCE_CONFIRMED
NAR_DRG0LSAKO	PF-06888667	PF 06888667; PF06888667			Receptor tyrosine-protein kinase erbB-2 (HER2)		Investigative	Investigative				nar_reference	1	DRG0LSAKO	REFERENCE_CONFIRMED
NAR_DRG0LSXKR	JS107	JS 107; JS-107; JS107			Claudin-18.2 (CLDN18.2)	Shanghai Junshi Biosciences Co., Ltd	Phase1	Phase 1				nar_reference	1	DRG0LSXKR	REFERENCE_CONFIRMED
